FILE_INFO_ID	DETAIL	FILESIZE_BYTES	NAME	ORIGINAL_FILE_NAME	WORKSPACE_ID
614106	Flow cytometry result	173438265	ARA06_TRAN_074054 WK 24.614106.fcs	ARA06_TRAN_074054 WK 24.fcs	5300
614107	Flow cytometry result	36812503	T COMBO_074054 WK 24.614107.fcs	T COMBO_074054 WK 24.fcs	5300
614108	Flow cytometry result	109325229	ARA06_B-MEM_074060 DAY 0.614108.fcs	ARA06_B-MEM_074060 DAY 0.fcs	5300
614109	Flow cytometry result	142871027	ARA06_TRAN_074060 DAY 0.614109.fcs	ARA06_TRAN_074060 DAY 0.fcs	5300
614110	Flow cytometry result	51635286	T COMBO_074060 DAY 0.614110.fcs	T COMBO_074060 DAY 0.fcs	5300
614111	Flow cytometry result	151211947	ARA06_B-MEM_074060 WK12.614111.fcs	ARA06_B-MEM_074060 WK12.fcs	5300
614112	Flow cytometry result	251217851	ARA06_TRAN_074060 WK 12.614112.fcs	ARA06_TRAN_074060 WK 12.fcs	5300
614113	Flow cytometry result	35988822	T COMBO_074060 WK 12.614113.fcs	T COMBO_074060 WK 12.fcs	5300
614114	Flow cytometry result	134588012	ARA06_B-MEM_074060 WK24.614114.fcs	ARA06_B-MEM_074060 WK24.fcs	5300
614115	Flow cytometry result	211395729	ARA06_TRAN_074060 WK 24.614115.fcs	ARA06_TRAN_074060 WK 24.fcs	5300
614116	Flow cytometry result	51374935	T COMBO_074060 WK 24.614116.fcs	T COMBO_074060 WK 24.fcs	5300
614117	Flow cytometry result	132791364	ARA06_B-MEM_074071 DAY 0.614117.fcs	ARA06_B-MEM_074071 DAY 0.fcs	5300
614118	Flow cytometry result	68399116	ARA06_TRAN_074071 DAY0.614118.fcs	ARA06_TRAN_074071 DAY0.fcs	5300
614119	Flow cytometry compensation or control	177529613	ARA06_TRAN_33286-4 IC.614119.fcs	ARA06_TRAN_33286-4 IC.fcs	5300
614120	Flow cytometry result	59433993	T COMBO_074071 DAY0.614120.fcs	T COMBO_074071 DAY0.fcs	5300
614121	Flow cytometry result	152520947	ARA06_B-MEM_074071 WK12.614121.fcs	ARA06_B-MEM_074071 WK12.fcs	5300
614122	Flow cytometry result	77365491	ARA06_TRAN_074071 WK 12.614122.fcs	ARA06_TRAN_074071 WK 12.fcs	5300
614123	Flow cytometry result	35010442	T COMBO_074071 WK 12.614123.fcs	T COMBO_074071 WK 12.fcs	5300
614124	Flow cytometry result	170641620	ARA06_B-MEM_074071 WK24.614124.fcs	ARA06_B-MEM_074071 WK24.fcs	5300
614125	Flow cytometry result	19602841	ARA06_TRAN_074071 WK24.614125.fcs	ARA06_TRAN_074071 WK24.fcs	5300
614126	Flow cytometry result	60762249	T COMBO_074071 WK24.614126.fcs	T COMBO_074071 WK24.fcs	5300
614127	Flow cytometry result	133309044	ARA06_B-MEM_074082 DAY 0.614127.fcs	ARA06_B-MEM_074082 DAY 0.fcs	5300
614128	Flow cytometry result	129731601	ARA06_TRAN_074082 DAY0.614128.fcs	ARA06_TRAN_074082 DAY0.fcs	5300
614129	Flow cytometry result	53451658	T COMBO_074082 DAY 0.614129.fcs	T COMBO_074082 DAY 0.fcs	5300
614130	Flow cytometry result	40962997	ARA06_B-MEM_074082 WK24.614130.fcs	ARA06_B-MEM_074082 WK24.fcs	5300
614131	Flow cytometry result	95683226	ARA06_TRAN_074082 WK 24.614131.fcs	ARA06_TRAN_074082 WK 24.fcs	5300
614132	Flow cytometry result	67459978	T COMBO_074082 WK 24.614132.fcs	T COMBO_074082 WK 24.fcs	5300
614133	Flow cytometry result	104583638	ARA06_B-MEM_074093 DAY 0.614133.fcs	ARA06_B-MEM_074093 DAY 0.fcs	5300
614134	Flow cytometry result	54310873	ARA06_TRAN_074093 DAY0.614134.fcs	ARA06_TRAN_074093 DAY0.fcs	5300
614135	Flow cytometry result	56685321	T COMBO_074093 DAY0.614135.fcs	T COMBO_074093 DAY0.fcs	5300
614136	Flow cytometry result	30659866	ARA06_B-MEM_074093 WK12.614136.fcs	ARA06_B-MEM_074093 WK12.fcs	5300
614137	Flow cytometry result	19545385	ARA06_TRAN_074093 WK 12.614137.fcs	ARA06_TRAN_074093 WK 12.fcs	5300
614138	Flow cytometry result	27300170	T COMBO_074093 WK 12.614138.fcs	T COMBO_074093 WK 12.fcs	5300
614139	Flow cytometry result	111717179	ARA06_B-MEM_074093 WK24.614139.fcs	ARA06_B-MEM_074093 WK24.fcs	5300
614140	Flow cytometry result	72413761	ARA06_TRAN_074093 WK 24.614140.fcs	ARA06_TRAN_074093 WK 24.fcs	5300
614141	Flow cytometry result	142709770	T COMBO_074093 WK 24.614141.fcs	T COMBO_074093 WK 24.fcs	5300
614142	Flow cytometry result	106795156	ARA06_B-MEM_074119 DAY 0.614142.fcs	ARA06_B-MEM_074119 DAY 0.fcs	5300
614143	Flow cytometry result	26814309	TRAN_074119 DAY 0.614143.fcs	TRAN_074119 DAY 0.fcs	5300
614144	Flow cytometry result	46035273	T COMBO_074119 DAY 0.614144.fcs	T COMBO_074119 DAY 0.fcs	5300
614145	Flow cytometry result	66422808	ARA06_B-MEM_074119 WK12.614145.fcs	ARA06_B-MEM_074119 WK12.fcs	5300
614146	Flow cytometry result	45568867	TRAN_074119 WK 12.614146.fcs	TRAN_074119 WK 12.fcs	5300
614147	Flow cytometry result	41657734	T COMBO_074119 WK 12.614147.fcs	T COMBO_074119 WK 12.fcs	5300
614148	Flow cytometry result	98251204	ARA06_B-MEM_074119 WK24.614148.fcs	ARA06_B-MEM_074119 WK24.fcs	5300
614149	Flow cytometry result	25956138	TRAN_074119 WK 24.614149.fcs	TRAN_074119 WK 24.fcs	5300
614150	Flow cytometry result	12773962	T COMBO_074119 WK 24.614150.fcs	T COMBO_074119 WK 24.fcs	5300
614151	Flow cytometry result	20373077	20120110_101023 DAY 0.614151.fcs	20120110_101023 DAY 0.fcs	5300
614152	Flow cytometry compensation or control	29752843	20120110_244888-1149 IC.614152.fcs	20120110_244888-1149 IC.fcs	5300
614153	Flow cytometry result	27617098	Transitional_101023 Day 0.614153.fcs	Transitional_101023 Day 0.fcs	5300
614154	Flow cytometry compensation or control	44751354	Transitional_24888 1149 IC.614154.fcs	Transitional_24888 1149 IC.fcs	5300
614155	Flow cytometry result	37014965	T-helper_101023 Day 0.614155.fcs	T-helper_101023 Day 0.fcs	5300
614156	Flow cytometry compensation or control	17104617	T-helper_24888 1149 IC.614156.fcs	T-helper_24888 1149 IC.fcs	5300
614157	Flow cytometry compensation or control	11404799	T-helper_CCR6 FMO.614157.fcs	T-helper_CCR6 FMO.fcs	5300
614158	Flow cytometry compensation or control	9985678	T-helper_CCR7 FMO.614158.fcs	T-helper_CCR7 FMO.fcs	5300
614159	Flow cytometry compensation or control	8359202	T-helper_CXCR5 ISO.614159.fcs	T-helper_CXCR5 ISO.fcs	5300
614160	Flow cytometry compensation or control	7636034	T-helper_ICOS ISO.614160.fcs	T-helper_ICOS ISO.fcs	5300
614161	Flow cytometry result	30581657	20120110_101023 WK 12.614161.fcs	20120110_101023 WK 12.fcs	5300
614162	Flow cytometry result	49245540	Transitional_101023 Wk 12.614162.fcs	Transitional_101023 Wk 12.fcs	5300
614163	Flow cytometry result	22138182	T-helper_101023 Wk 12.614163.fcs	T-helper_101023 Wk 12.fcs	5300
614164	Flow cytometry result	66109342	20120110_101023 WK 24.614164.fcs	20120110_101023 WK 24.fcs	5300
614165	Flow cytometry result	105058602	Transitional_101023 Wk 24.614165.fcs	Transitional_101023 Wk 24.fcs	5300
614166	Flow cytometry result	45173286	T-helper_101023 Wk 24.614166.fcs	T-helper_101023 Wk 24.fcs	5300
614167	Flow cytometry result	17406984	Specimen_001_101034 DAY 0.614167.fcs	Specimen_001_101034 DAY 0.fcs	5300
614168	Flow cytometry compensation or control	34861788	Specimen_001_24888-1149 IC.614168.fcs	Specimen_001_24888-1149 IC.fcs	5300
614169	Flow cytometry result	22127148	Transitional_101034 Day 0.614169.fcs	Transitional_101034 Day 0.fcs	5300
614170	Flow cytometry compensation or control	40669572	Transitional_24888 1149IC.614170.fcs	Transitional_24888 1149IC.fcs	5300
614171	Flow cytometry result	13127939	T-helper_101034 day0.614171.fcs	T-helper_101034 day0.fcs	5300
614172	Flow cytometry compensation or control	5986070	T-helper_FMO CCR6.614172.fcs	T-helper_FMO CCR6.fcs	5300
614173	Flow cytometry compensation or control	4375783	T-helper_FMO CCR7.614173.fcs	T-helper_FMO CCR7.fcs	5300
614174	Flow cytometry compensation or control	6354135	T-helper_FMO CXCR5.614174.fcs	T-helper_FMO CXCR5.fcs	5300
